ko,en
우리는 고객의 문의에 대한 서비스를 신속하게 제공합니다.,We provide a quick service for the customer's inquiry.
상기 위선적 서류는 아래의 주소로 발송요청 드립니다.,The above-mental documents are to be sent to the address below.
나는 거기에서 스파게티와 맛있는 음식들을 먹었습니다.,I had spaghetti and other delicious foods there.
그래야 정확한 수량을 파악 할 수 있습니다.,"With that, we can figure out the exact quantity."
이것들은 이미 내가 준 도면에 표기되어있어요.,They've already been marked on the drawing I've given you.
재정지원의 충분성이 이번 프로젝트의 핵심이야.,The adequacy of financial support is the essence of this project.
당신은 부적절한 명사 단어들을 적절한 한국어 명사 단어들로 변환해야 할 수도 있습니다.,You may have to convert inappropriate pronouns into appropriate Korean pronoun.
너와 나를 제외하고 도서관에 가는 사람 없나?,Is there anyone who goes to the library except you and me?
그때는 그렇게밖에 할 수가 없었어요.,It was impossible to do that at that time.
서울에서 지내시니 어떻습니까?,How are you doing in Seoul?
높이가 증가함에 따라 힘은 감소해요.,The strength decreases as the height increases.
내가 그곳에 없어서 안타깝습니다.,I am sorry that I am not there.
내가 당신을 깨우지 않기를 바래요.,I hope I won't wake you up.
감사합니다만 저는 그렇게 젊게 느껴지지는 않아요.,"Thank you, but I don't feel so young."
그 여자가 당신에게 무엇을 물어봤나요?,What did she ask you?
"김밥 한 줄에 1,000원인 김밥천국도 있습니다.","They also have Kimbab noodles for 1,000 won on a line."
라인 정비사로서 비행기가 이륙하거나 착륙할 때마다 안전할 수 있도록 열심히 노력하겠습니다.,"Like a line repairman, I will try hard to make sure the airplane is safe whenever it lands or lands."
모든 서류는 화물과 같이 보냈어요.,We sent all the documents together with the cargo.
가장 좋은 해결방법은 대화와 타협을 하려 노력하며 갈등을 줄여나가는 것이에요.,The best solution is to try to negotiate and compromise and reduce conflicts.
우리 그럼 외환은행에서 만나요.,Let's meet at the exchange bank.
이는 보행자가 많을수록 안전한 도시이고 상업적 가치도 높은 공간이 되어 도시의 경쟁력이 높아질 수 있다는 것을 의미합니다.,"It means that the more pedestrians, the safer the city and the higher the commercial value of the city."
마지막 학기에 나는 예배와 윤리에 관한 수업을 수강했어요.,"During the last semester, I took a class about worship and ethics."
우리는 최대한 빨리 파일을 보내겠습니다.,We will send the file as soon as possible.
나는 힙합같이 너무 시끄러운 음악이나 너무 슬픈 음악은 싫고 적당히 신나는 음악을 좋아해요.,"I don't like too noisy or sad music like hip-hop, and I like moderately exciting music."
저는 오늘 수업을 취소해야 해요.,I have to cancel my class today.
돈을 쓰기 전에 먼저 곰곰이 생각해야 합니다.,You have to think about it before you spend money.
나는 2월에 당신을 보러 갈 거예요.,I'm going to see you in February.
당신은 장흥에 대해서는 잘 알지 못할 것입니다.,You may not know much about Jang-Hung.
그 여행은 우리가 함께한 첫 여행입니다.,The trip is our first trip together.
나무의 갈라진 틈을 무엇으로 메꿔야 하나요?,How do I get rid of the gap between the trees?
이 원피스는 시원한 면 100%로 되어있어요.,This dress is made of cool cotton 100%.
"서울과 평양에 이어 세 번째로 세워진 건물로, 설계는 프랑스 신부인 로배로가 했다고 합니다.",It is the third-largest building after Seoul and Pyongyang and it was designed by a French bride.
"네, 당연히 그러셔야죠.","Yes, of course."
마지막으로 그릇에 담아 양념장을 넣으면 맛있는 잔치국수 완성입니다.,"With the last, put the seasoning in the bowl and it's done."
그리고 이번 주 목요일쯤에 장비 2대가 더 입고 될 것입니다.,It will be stocked with 2 more equipments around this Thursday.
이미 증명된 둘 이상의 명제를 전제로 하여 새로운 명제를 결론으로 끌어내는 것.,"With two or more proofs already established, bring a new proof to the conclusion."
유용한 시간을 갖기 위해서 계획을 세워야 합니다.,You have to plan to have a useful time.
그는 그래서 당신의 위로가 필요했던 것입니다.,That's why he needed your comfort.
롱코트는 넉넉하고 긴 길이로부터 오는 보이시하고 시크한 느낌이 있습니다.,Long-coat has a feminine and sophisticated look from its ample and long length.
그 사이즈는 잘 맞으시나요?,Does the size fit well?
나는 차를 타고 다시 회사로 돌아 갑니다.,I go back to work by car.
내가 이것과 무슨 관계가 있죠?,What's up with me?
나는 너와 진한 사랑을 나누고 싶어.,I want to share a deep love with you.
저는 같은 대학교 재학 중이고 저도 남자친구처럼 4년 동안 성실하게 대학 생활하고 싶어요.,I'm a student at the same university and I want to be a diligent student for 4 years like my boyfriend.
나는 이번 주에 딱히 한 일이 없었어요.,I didn't do anything this week.
교환원을 부르려면 어떻게 하면 됩니까?,How can I call the exchanger?
우리는 우리의 자신 속에서 기쁨을 찾아야 합니다.,We have to find joy in ourselves.
우리는 2박 3일에 걸쳐 봉사하고 왔다.,We volunteered for 2 nights and 3 days.
우리를 판매자에게 소개를 부탁해요.,Please introduce us to the seller.
나는 네가 이미 잠들었다고 생각했어요.,I thought you had already fallen asleep.
여기는 겨울이 오고 있는데 거긴 어때?,"This is winter, how is it?"
인사동에 가장 잘 어울리는 풍경을 어떻게 찾을 수 있을까?,How can I find the best scenery in Insadong?
배구 경기는 순발력이 중요합니다.,It is important to have good reflexes in volleyball games.
원격 제어 덕분에 사용이 편리해요.,It is easy to use thanks to remote control.
"셋째, 나는 마라톤 완주를 하고 싶어.","Third, I want to complete the marathon."
가볍게 대답을 하는 것은 실례예요.,It's a mistake to answer lightly.
잘 모르겠으면 헷갈리는 것이 생긴다면 나한테 물어봐도 돼.,You can ask me if you are confused if you don't know.
부디 한국의 호스트들이 안전하고 올바르게 그들의 프로필을 인증하는 것을 도와주세요.,Please help the hosts in Korea to authenticate their profiles safely and correctly.
그는 그것이 2차 캠프 숙제였다고 말했어요.,He said that it was the 2nd camp homework.
"오늘 아침엔 지친 뇌, 혹사당한 뇌는 깨끗한 활자로서의 사무실을 읽는 상상을 했어요.","Today's morning, the tired brain and the thirsty brain thought of reading the office as a clean circle."
나는 화장품을 사기 위해 쇼핑하기 원합니다.,I want to shop to buy cosmetics.
반짝이도 같이 넣어줘도 괜찮습니다.,It's okay if you put some sparkles together.
먹고 싶은 음식 있으면 린에게 요리해 달라고 하세요.,"If you want to eat something, ask Lin to cook it for you."
우리가 발주했던 것 중에 수정 사항이 생겼습니다.,There is a correction in one of the orders we made.
"만약 내가 기업인이 된다면, 우리 회사의 모토는 마냥 이익만을 추구하는 것이 아니라 사회에 환원하는 것이 될 것입니다.","If I become a businessman, our company's motto will be not just for profit but for re-entry to society."
저는 그의 사인을 갖고 싶어요.,I want to have his autograph.
내 택배 받으면 확인 사진을 꼭 보내줘.,Please send me the confirmation picture when you receive my package.
이 정수기는 부품 교체 주기가 짧습니다.,This water purifier has a short replacement cycle.
그리고 일요일에 나는 신랑 생일 파티를 했어요.,"And on Sunday, I had a birthday party for my husband."
다음에 당신을 만날 땐 담배는 없습니다.,I don't smoke when I meet you next time.
그거 탁자 위에 놓아주세요.,Please put it on the table.
메일 내용 중 두 파라미터를 변경하면 뉴데이가 늦어진다는 얘기인가요?,"With two parameters in the mail, is it saying that the new date will be delayed?"
그 회사는 최종 면접을 몇 번이나 보류했어요.,The company denied the final interview several times.
보험회사에서 손실을 살펴봤습니다.,The insurance company looked at the damage.
여기는 대체 뭐가 문제라서 그런 거예요?,What's the matter with this place?
이 방법은 프로의 세계에서는 적용되지 않습니다.,This method is not applied in the professional world.
또 몇 가지 질문이 있습니다.,I have a few questions.
이 부분은 다시 한번 마켓 플레이스 규정을 참고해 주시기 바랍니다.,This part needs to be referred to the regulation of the market place.
나는 그의 자신감 있고 어떤 상황에서도 흔들리지 않는 그 모습에 팬이 되었다.,I became a fan because of his confidence and the way he stays grounded in any situation.
나는 항상 열심히 살고 최선을 다해.,I always do my best to live my life.
나는 백화점의 동네 위치에 따라 가격의 차이가 있음을 알았습니다.,I knew that there was a price difference depending on the neighborhood of the department store.
그러면 아픈 사람은 큰 힘을 얻을 거예요.,This will give the sick a great power.
그리고 음악을 들었을 때 다른 장르에선 느끼지 못한 시원함을 느껴요.,The music is so cool that I can't feel it in other genres.
반대로 단점은 소심한 성격입니다.,"Consequently, my weakness is my timid personality."
내가 항상 네 안에 있다는 것만 기억해.,Remember that I am always in you.
"5월에 옮겼으면 하는 생각이니까, 아마 곧 돌아 다녀보기 시작해야겠죠.","With the thought of moving to May, I guess I should start to look around."
저는 1초의 망설임도 없이 구매할 생각을 했어요.,I thought about buying it without hesitation for a second.
"교통대학교에서 체계적으로, 깊이 있는 소프트웨어 공학을 배우기를 원합니다.",We want to learn systematically and deeply about software engineering at the Transportation University.
"이 약을 하루에 두 번, 일주일간 복용하세요.",You should take this medicine twice a day and once a week.
저는 이제 일이 끝났습니다.,I'm done with my work now.
당분간 수업을 그만두었으면 합니다.,I'd like to quit the class for a while.
"상대가 가격하는 것을 손이나 팔꿈치,어깨로 막는 것을 블로킹이라 하고요.","They call it blucking, which is blocking the hand or elbows and wrists of the person who is priced."
나는 나의 이름과 성을 거꾸로 입력했습니다.,I entered my name and the last name of my family.
당신은 그 매력 속에서 헤어나오지 못할 거야.,You won't be able to break away from the charm.
저는 내일 하루 휴가입니다.,I have a day off tomorrow.
입주를 긍정적으로 고려해주셔서 감사드려요.,Thank you for considering the move positively.
우리는 그것에 근접한 제품을 만들기 원해요.,We want to make a product that is close to it.
우리는 우리에게만 공급하기 위해 고무 플러그도 특별히 제작할 예정입니다.,We are planning to specially produce rubber plugs to only supply to us.
영어로 처음 쓰는 말이라 짧게 쓸게.,"It's my first time to use it in English, so I'll use it shortly."
어느 순간부터 평범한 삶이 부러워지기 시작합니다.,It starts to envy the ordinary life from a long time ago.
자기 휴대폰을 가져가는 사람도 있어요.,There are people who take their own phones.
당신 계정의 비밀번호를 알려주세요.,Please tell me the password of your account.
네가 충고해준 대로 일찍 자고 비타민도 먹었더니 상쾌해!,"With the advice from you, I slept early and took vitamins, and I feel refreshed!"
저는 술 먹는 것은 좋아합니다.,I like drinking alcohol.
이제부터는 제 계정에서 발생하는 매매에 대한 수수료를 저에게 지급해주시길 강력히 요청합니다.,"From now on, I strongly ask you to pay the commission for the trades that occur in my account."
보디로션 좀 줄 수 있을까요?,Can you give me body lotion?
당신에게 불편을드려 미안하지만 긍정적인 이해를 해 주시면 감사하겠습니다.,"We are sorry for the inconvenience, but we would appreciate your positive understanding."
저는 여기서 동물 이야기만 나오는 줄 알았는데 마지막에 선생님과 아이들도 나와서 신기했어요.,"I thought there was only a story about animals here, but the teacher and children came out and it was amazing."
낸시가 지난 일요일에 시에서 열린 5킬로미터 도로 경주에서 1등으로 들어왔어요.,The winner of the 5km road race in the city last Sunday came to the first place.
비가 많이 와서 나갈 수가 없었어요.,I couldn't go out because it rained a lot.
그곳에 가보지는 않았지만 가보고 싶은 나라 중 하나야.,It's one of the countries I want to visit although I haven't been there yet.
수요일 목요일 금요일에 수업받고 싶습니다.,"I want to take a class on Wednesday, Thursday, and Friday."
온라인 숙제는 그 주 안에 하면 되나요?,Do I have to do online homework within that week?
보통 호랑이의 수명은 15년 정도 입니다.,The average lifespan of a tiger is about 15 years.
내 직업은 중학생을 가르치는 것이에요.,My job is to teach middle school students.
저는 그렇게 열심히 하는 거 아니에요.,I'm not doing so hard.
그때부터 한국이라는 나라가 알려지기 시작했어요.,"From then on, Korea became known as a country."
밖에 나가는 김에 쓰레기를 내놓을래요?,Do you want me to throw the trash outside?
김수지와 이제훈 같은 사람들은 너를 쳐다봐 주지 않을 것입니다.,The people like Kim Soo Ji and Nowhwan won't look at you.
내가 지금 인생의 황금기를 보내고 있는건데 나는 이런 대학 시절을 알차고 재미있게 보내고 싶어.,"This is the golden age of my life, and I want to have a fun and exciting time in college."
"이 영화에 좋은 점도 많이 있었지만, 내가 생각하기에 아쉬운 부분도 있었습니다.","There were many good things in this movie, but I think there were some regrets."
이것은 제조하기가 간편해서 집에서도 만들 수 있습니다.,This is easy to manufacture and can be made at home.
"아래의 PO, LOT, 수량을 확인하십시오.","Check the PO, LOT and quantity below."
온양에 있는 온천에 갔습니다.,I went to the hot spring in Onyang.
비슷하게 분리수거 담당하는 학생들도 제 역할을 잘해주어야 쓰레기통이 꽉 차지 않고 깨끗해질 수 있습니다.,"Likewise, students should do their best to keep the trash out of the bins and get clean."
나의 예전 예약을 취소하여 주십시오.,Please cancel my previous reservation.
저는 마늘 소스가 곁들여진 스테이크를 좋아합니다.,I like steak with garlic sauce.
샘플을 준비해주셔서 감사합니다.,Thank you for preparing the sample.
기차가 지금 떠나고 있어요.,The train is leaving now.
비비안 언니는 요즘 여러 가지 학업 지식도 쌓고 미술 공부도 하면서 지내고 있어요.,"With various academic knowledge, Vivian is studying art these days."
나의 아버지가 바로 보스야.,"This is Boss, my father."
요청하신 운임에 대하여 다음과 같이 회신을 드립니다.,We are sending you the following reply regarding the requested fare.
내일 시간 나면 나하고 쇼핑갈래요?,Do you want to go shopping with me tomorrow?
바람이 시원하니 걸어가기 좋아요.,The wind is chilly so it's good to walk.
이번 주말까지 브라질에 관한 모든 주제에 대해 5개씩만 게시물을 업로드 해주세요.,Please upload 5 posts for every topic about Brazil until this weekend.
나는 미용실에 갔고 머리를 잘랐다.,I went to a hair salon and cut my hair.
"돈으로는 행복을 살 수 없지만, 자전거에 탄 채로 우는 것보단 벤츠에 앉아 우는 게 편해요.","I can't buy happiness with money, but I can ride a bicycle and cry instead of sitting in a Bents."
반대로 2부리그 상위 3개 클럽은 다음 시즌 1부 리그로 승격할 수 있다.,"On the other hand, the top 3 clubs in the second division can be transferred to the 1st division next season."
IPX3 시험은 어떤 상태로 진행하게 되나요?,How will the IPX3 test be progressed?
나는 개미의 역할과 하는 일에 대하여 알게 되었습니다.,I found out about the role of the insect and what it does.
당신이 내 옆에 없으니까 걱정된다.,I'm worried because you are not beside me.
사용 중인 제품은 폐기해주길 바랍니다.,Please discard the products you are using.
다음에는 화요일 11시에 오시면 되는데 혹시 통증이 느껴지시면 그 전에 오세요.,"You can come next Tuesday at 11 o'clock, but if you feel any pain, please come before then."
당신의 친구와 나의 형이 내일 만납니다.,Your friend and my brother will meet tomorrow.
또한 캐러멜 크림으로 음식점 메뉴판에 나와 있기도 해요.,It is also shown on the menu of the restaurant as caramel cream.
그는 휴대폰을 사무실에 놓고 퇴근했어요.,He left his cellphone in the office after work.
나는 다음 주에 그동안 공부하던 자격증 시험이 있어요.,I have a certification test next week that I studied until now.
왕복 비행기 티켓과 숙소 및 여행 스케줄 모두 제공해드릴 계획입니다.,We are planning to provide a round-trip ticket and accommodation and a schedule for the trip.
잘못된 스트레스 해소법으로는 스트레스를 해소하려다가 ​건강을 해칠 수도 있습니다.,"With the wrong stress relieving techniques, it can even harm your health."
라벨을 정확하게 어디에 붙여야 하는지 알려주세요?,Can you tell me exactly where I should attach the label?
오늘은 온종일 손님 접대를 했어요.,This is the day that I served the guests all day long.
"예, 값이 더 저렴한 것들이 있습니다.","Yes, there are cheaper ones."
이러한 관습에 따르지 않는 사상을 내포한 초기의 도서들은 파기되기도 했습니다.,The early works that contained these ideas were also discarded.
당신이 토요일에 호텔로 올 것입니까?,Are you coming to the hotel on Saturday?
DVD는 하루에 150건 정도 대출된다.,The DVDs are loaned about 150 times a day.
당신은 완전히 당했었나보죠?,"You've been totally hurt, haven't you?"
그쯤 되면 기사님께 말씀하시는 게 좋을 거예요.,You'd better tell the driver about that.
센터 면회실에서 당신의 여권을 보여 주고 출입증을 교환해야 합니다.,You have to show your passport in the screening room and exchange it.
네가 하는 말은 대부분 이해하지만 내 생각을 영어로 표현하는 게 어려워.,"I understand most of what you say, but it's hard to express my thoughts in English."
이것은 회사의 인감을 보유하고 있는 법무법인 연락처입니다.,This is the contact information of the law firm that has the company's signature.
레오 티수와 햄릿은 독이 묻은 칼에 죽게 됩니다.,Leo tea and Hamlet died with poisoned stones on the knife.
벌들은 협동하지 않고는 아무것도 하지 못합니다.,They can't do anything without cooperation.
저는 그것을 3주 전에 페덱스로 보냈습니다.,I sent it to FedEx 3 weeks ago.
또 그는 여자들이 싫어하는 롤이란 게임을 항상 붙잡고 있지.,"Also, he is always holding a game called LOL which women hate."
방학 때 학원도 가고 자격증 따기 위해 매일 학교에 나왔지.,They went to the academy during the vacation and got certificates every day.
일본의 일상을 경험할 수 있을 것 같아 매우 기대됩니다.,"It seems like I can experience the daily life of Japan, so I am looking forward to it."
새 제조업체에 각 로트의 테스트 차트 요청 중입니다.,We are requesting the test chart for each load to the new manufacturer.
연꽃들을 보고 있으면 마음이 평온해집니다.,"With the view of the roses, my mind calms down."
나는 몇 주에 한 번씩 우유를 사.,I buy milk once a week.
"예를 들어, 제가 3t 트럭중에 번호판 번호가 1234인 차를 예약할 수는 없는 건가요?","For example, is it possible to reserve a car with the number plate number as 1234 for a 3t truck?"
그는 당신을 잡아먹지 않아요.,He doesn't grab you.
내 생일 케이크에는 열 개의 초가 있습니다.,The birthday cake has ten spoons.
갑자기 다들 빅데이터에 관심이 쏠리기 시작했어.,People started to get interested in big data.
끊임없이 변화하는 정보통신 변화에 대한 공부를 쉬지 않고 있습니다.,The continuous change of information communications is keeping me studying.
거위가 돼지에게 헛간에서 탈출하는 방법을 알려주고 있습니다.,The fox is telling the pig how to escape from the hut.
나는 일요일에 큰딸과 함께 강남역으로 쇼핑하러 갔어요.,I went shopping at Gangnam station with my big sister on Sunday.
때가 오면 당신은 지시에 충실히 따르면 됩니다.,"When the time comes, you can follow the directions."
원장님은 어려운 사람이에요.,The director is a difficult person.
"이 책과 CD, 비디오테이프를 대출하고 싶습니다.",I'd like to borrow this book and CD and videotape.
공식 커피와 그라인더 그리고 대회 규정에 대한 정보와 질문이 오가는 자리였습니다.,This was the place for information and questions about the official coffee and the linedriver and the rules of the competition.
내가 조금 일찍 가서 정리할게요.,I'll go to a little early and arrange it.
얼굴에 거품 잔뜩 올리고 몇 분 놔둔 후 물로 헹구면 한결 얼굴이 밝아 보여 만족스러워요.,"Put a lot of bubbles on your face and leave it for a few minutes and then rinse your face with water, and it makes your face brighter."
저는 배를 타기 위해 항구로 갑니다.,I go to the port to take a boat.
우리 페이지에 당신 브랜드의 글을 올렸습니다.,I uploaded your brand on our page.
목욕하고 나면 정말 상쾌해요.,It's refreshing after taking a shower.
이번 한 주도 모두들 힘냅시다.,"This week, let's all cheer up."
목표에 도달하지 못한 유일한 항목입니다.,This is the only item that didn't reach the goal.
이게 너의 온기를 빼앗아 가.,This takes away your heat.
그리고 당신이 이걸 고쳐 주셨으면 해요.,And I want you to fix it.
버스 안에 손님이 조금 있습니다.,There are a few customers in the bus.
여기 분위기가 정말 근사하네요.,The atmosphere is really great here.
세부는 당신을 위한 곳이에요.,The Cebu is for you.
생각나는 대로 모두 적어주세요.,Please write what you think of it.
나도 남자 친구랑 헤어진 이유가 그것 때문이야 그래서 이해해.,"It's because of that that I broke up with my boyfriend, so I understand."
이런 시간에 전화해서 죄송합니다.,I'm sorry for calling you at this time.
나는 제품의 기능 가격 및 상세한 내용을 설명하고 판매하는 일을 했습니다.,I sold the product by explaining the function price and detailed contents of the product.
나는 네가 쓴 글을 읽었어.,I read your writing.
당신을 도와주고 싶지만 당신이 거절하니 어쩔 수 없네요.,"I want to help you but you refuse, so I can't help it."
오늘은 다니엘의 환영회가 있습니다.,There is a welcome party for Daniel today.
오늘부터 일요일까지 4박 5일 휴가 기간 동안 신을 샌들을 사러 갈 거야.,We are going to buy a pair of pants for a 5 nights' vacation from today to Sunday.
요리에 자신도 없고 스스로 자책을 많이 하던 때가 있었습니다.,There was a time when I was not confident in cooking and I blamed myself a lot.
내가 정말 이루고 싶은 버킷리스트가 있다.,I have a bucket list that I really want to achieve.
그는 오늘 쉬는 날이라고 했어요.,He said today is his day off.
아파트는 주택보다 가격이 쌉니다.,The price of an apartment is lower than the price of a house.
선택하는 데 도움이 될 것 같네요.,It will help you to choose.
외부 네트워크에 연결되었습니다.,We are connected to an external network.
당신은 일본 은행에 대해 어떻게 생각하세요?,How do you think about Japanese banks?
다른 일에 문제가 생겨서 적어도 한 달간은 어떠한 일도 맡을 수가 없대요.,They say that they can't do anything for at least a month because they have a problem with something else.
요즘의 광고 독자는 글자와 같은 평면적인 것보다 감각적인 것을 좋아한다는 것을 저는 간과했어요.,"I should have pointed out that nowadays, the advertisers prefer something sensuous than ordinary letters."
독특한 착용 방식을 가진 유행을 따르는 라인으로 감각적인 느낌을 살리기에 적합한 아이템입니다.,It is an item that suits the trend with a unique wear method and a line that gives a sensuous feeling.
김구와 같이 조국을 지키기 위해 노력한 많은 독립운동가가 있습니다.,There are many patriots who tried to protect their country like Kim-gu.
개인 및 회사 모두 라이센스를 얻을 수 있나요?,Can both individuals and companies get licenses?
저는 편의점에서만 살 수 있는 계란찜을 소개하려 합니다.,I'm going to introduce an egg stew that can only be bought in convenience stores.
서로 믿고 의지하며 오래오래 이쁘게 사귀자.,We should trust and cherish each other and be good together for a long time.
네가 말한 커피숍 이름이 뭔지 내게 가르쳐줘.,Please tell me the name of the coffee shop you said.
저는 점포 오디 터 기획 및 단속 협력사 원부 재료 관리합니다.,I'm in charge of planning and managing the stock of the counterparts of the department store.
나랑 함께 월요일 오후에 커피 마시러 가자.,Let's go drink coffee with me on Monday afternoon.
"그는 무능한 아버지, 가정의 불화, 그리고 서툰 인간관계를 가지고 있는 아이였습니다.","It was a child with an incompetent father, a broken family, and a weary relationship."
언니가 등불을 보려 탐험을 떠났습니다.,The older sister went on a hike to see the fire.
갑자기 담백한 오징어 냄새가 났어요.,It smelled like a light squid.
엄마가 그녀를 호주로 보낸다고 했어.,My mom said she was going to Australia.
그는 선생님이며 수학 과목을 가르칩니다.,He is a teacher and teaches mathematics.
자원은 희소하고 한 가지 목적으로만 자원을 취하게 되면 기회비용이 발생하게 됩니다.,The opportunity cost occurs when a resource becomes inexpensive and only serves for one purpose.
그것들 타기에는 시간이 부족해요.,It's too much time to ride them.
그것이 목적이면 계속된 만날 수 없습니다.,"If that is the purpose, we can't continue meeting."
난 꽃 파는 젊은 아가씨들의 노래가 좋아.,I like young ladies selling flowers.
보통 하절기에 이러한 현상이 반복되고 있으며 이 현상을 잡기 위해 D를 통해 타워 압력을 우리는 유지하려 합니다.,"With D, we try to maintain the power of the tower in the middle of the winter."
모든 팀이 샘플이 필요하다는 건 잘 알고 있습니다.,We know that every team needs a sample.
"예, 아키코 혼다에요, H-O-N-D-A요.","Yes, Akiko Kawai, H-O-N-D-A."
"그래, 당신 입장도 충분히 이해는 해요.","Yes, I fully understand your situation."
그는 그의 어머니에게 말대꾸했어요.,He screamed at his mother.
당신의 이미지에 한국 드라마가 있네요.,You have a Korean drama in your image.
사탕을 안 주면 장난칠 거에요.,You'll be kidding me if I don't give you candy.
나는 이산화 탄소 때문에 지구가 계속 아파하는 것을 더는 볼 수가 없습니다.,I can't see the earth dying because of carbon dioxide.
불량이나 제품은 한국으로 보내셔서 에이에스 처리 받으시기 바랍니다.,Please send the faulty or product to Korea and receive an e-ess process.
우리 회사는 윤리적 약물 제조 실천 기업으로 소비자에게 알려져 있습니다.,Our company is known as an ethical drug manufacturing company.
당신은 몇 시까지 평택에 돌아가야 하나요?,What time do you have to go back to Pyeongtaek?
너의 에세이에는 문법적인 오류가 많아.,Your essay has many grammatical errors.
노후를 준비하는 일은 어떻게 생각하면 아이러니합니다.,It's ironic to think that preparing for the future.
그 사람들이 유대인 친구들과 함께 예루살렘 투어에 참가하기로 했어요.,They decided to participate in the Jerusalem tour with their Jewish friends.
언제나 나의 인형을 사랑해줘서 고마워.,Thank you for always loving my doll.
난 너에게 내 잘못을 차마 말 못 한 게 있어.,I have something that I can't tell you about my fault.
갑자기 안 쓰던 근육을 써서 그럴까요?,Do you mean to use the muscles you haven't used for a long time?
HFO 드레인 후 체크 밸브 수리 작업을 하세요.,Check valve repair after HFO dish.
복지는 필요한 사람에게 해야 합니다.,The welfare should be given to those who need it.
저는 아직도 약한 것 같아요.,I think I'm still weak.
"다시 태어나도, 당신의 자식으로 태어나겠습니다.","Even if I am born again, I will be your child."
스트레스가 해소되었고 오랜만에 외출이라 행복했어요.,The stress was relieved and I was happy to go out for the first time in a while.
저는 한국어를 할 수 있는 직원이 있다면 그 사람과 통화하고 싶습니다.,"If there is a staff who can speak Korean, I would like to talk to him."
"이곳은 낭만적인 도보 코스인데, 원하는 것들을 사진에 다 담을 수 있는 곳이기도 해요.","This is a romantic walking course, and it is also a place where you can take pictures of everything you want."
내가 요청한 라벨 사양에 따르세요.,Please follow the label specifications I requested.
같은 사이즈의 물건을 220달러에 파는 사이트가 있습니다.,There is a site that sells the same item for 220 dollars.
당신이 심심할 때 친구가 가까이 있어서 좋은 것 같아요.,It's good that you have a friend when you're bored.
그녀는 나에게 화가 났을거에요.,She must have been angry at me.
고등학교를 졸업하고 각기 다른 대학교에 입학했어요.,We graduated from high school and entered different universities.
그는 여자애 한 명을 나에게 소개했어요.,He introduced me to a girl.
나는 오늘 야근할 예정이에요.,I'm going to work overtime today.
저는 6월 초에 파리에 갈 거예요.,I'm going to Paris in early June.
나 밥 다 먹었으니 나가볼게요.,"I've had dinner, so I'll go out."
당신도 좋은 하루 보내세요.,I hope you have a good day too.
우리는 수진이와 연락이 되지 않고 있습니다.,We are not getting in touch with Sujin.
나는 일을 할 때 음악을 감상하는 것을 좋아해요.,I like to listen to music when I work.
"또한 한국과는 다르게 자연경관도 좋은 곳이 많아서, 자연과 더 친해질 수 있는 곳이기도 합니다.",It is also a place where you can get closer to nature than in Korea because there are a lot of places with good natural scenery.
오늘 카라치 근교에서 큰 지진이 일어났다는 뉴스를 들었어요.,I heard that a big earthquake happened near Calachi today.
당신이 중국으로 보냈던 이메일을 보았습니다.,I saw the email you sent to China.
당신은 오늘 밤 회사에서 혼자 일하나요?,Are you working alone at the company tonight?
실제로 널 본다면 사랑에 빠질지도 몰라.,You might fall in love if you see me.
또한 처음 보는 낯선 사람과도 쉽게 이야기할 수 있는 친근함과 적극성을 가지고 있습니다.,They also have a friendly and active personality that they can talk to a stranger easily.
고양이 모래에 대해서는 아래에 회신 바랍니다.,Please reply to the below regarding cat sand.
바로 전에 보냈던 메일은 무시하시기 바랍니다.,You should ignore the mails I sent you before.
수직 배관은 1층부터 6층까지 보온이 완료되어있고 수평 배관은 1층부터 3층까지 보온이 완료되어있습니다.,The horizontal wire is completed from the 1st floor to 6th floor and the vertical wire completed from 1st to 3rd floor.
자동차 금형 설계에서 프레스 기준 축이 바이오프되어 사출되었고 납품 품목들은 사입될 것이에요.,"In the automotive mold design, the press standard cylinder is bio-fuded and the deliverables will be saved."
우리 일정이 있기 때문에 그건 어려워.,It's hard because we have a schedule.
생각해 볼 시간을 좀 주세요.,Please give me some time to think about it.
나중에 부산에 가는 날짜를 얘기해 주세요.,Please tell me the date to go to Busan later.
저는 지질학과 환경 공학에 관심이 많습니다.,I'm interested in geology and environmental engineering.
또한 우리는 2월 말에 이 샘플을 가지고 당신의 회사를 방문할 것이에요.,"Also, we will visit your company with this sample at the end of February."
2번째 정말 바보 같지만 교수님이 답변해주시기 전까지 생각을 못 했습니다.,"The second is such a fool, but I didn't think about it until the professor gave me a reply."
북한은 공산주의인데 사실상 공산주의 또한 장점도 많다.,"People's Republic of North Korea is communism, but actually communism has many advantages."
이 학생의 송금 영수증을 첨부합니다.,I'm attaching the invoice of this student.
가끔 이 마술을 알려드리면 이렇게 하는 분들이 있어요.,"When I tell you this magic trick, some people do it like this."
"요즘 젊은이들은 낭비하는 경향이 있으며, 물건의 가치를 모른다고 걱정합니다.",People nowadays tend to waste and worry about the value of the things.
시험 끝나면 곧 있으면 여름방학인데 뭐할 거야?,"It's summer vacation soon after the exam, what are you going to do?"
저는 천안이 살기 좋은 도시라고 생각합니다.,I think Cheonan is a good city to live in.
가죽 제품 파는 곳은 어디에 있습니까?,Where can I buy leather products?
살찌고 싶지 않으면 단 것은 피하세요.,"If you don't want to get fat, avoid sweets."
